"Status","Name","Duration in ms","Description"
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_is_city","769",""
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_is_city","179",""
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_is_city","297",""
"passed","Testcase.author.test_authorRank_bangNew_G.TestCase_AuthorRank_BangNew_G#test_authorRank_bangNew_G_star_type","613",""
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_product_type","274",""
"passed","Testcase.author.test_author_search.TestCase_Author_Search#test_author_search_star_product_category","303",""
"passed","Testcase.aweme_material.test_aweme_hotspot_hour.TestCase_Aweme_Hotspot_Hour#test_hotspot_publish_time","440","验证小时探测榜按视频发布时间筛选是否有返回数据"
"passed","Testcase.author.test_author_search.TestCase_Author_Search#test_author_search_star_product_category","295",""
"passed","Testcase.author.test_author_search.TestCase_Author_Search#test_author_search_verification_type","31908",""
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_is_city","389",""
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_is_city","298",""
"passed","Testcase.author.test_author_search.TestCase_Author_Search#test_author_search_city_type","192",""
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_is_city","156",""
"passed","Testcase.shop_brand.test_rank_specialtyToday.TestCase_Rank_SpecialtyToday#test_rank_specialtyToday_product_type","160",""
"passed","Testcase.shop_brand.test_brand_search.TestCase_Brand_Search#test_brand_search_product_type","257",""
"passed","Testcase.live.test_rank_product.TestCase_Rank_Product#test_product_big_category","415","验证直播商品榜日榜、周榜、月榜遍历商品一级分类是否有返回数据"
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_is_city","256",""
"passed","Testcase.product.test_product_search.TestCase_Product_Search#test_product_search_big_category","832","验证选品库遍历商品一级分类是否有返回数据"
"passed","Testcase.product.test_rank_yesterdayHotRank.TestCase_Rank_YesterdayHotRank#test_yesterdayHotRank_commission_rate","233","验证抖音热推榜日榜、周榜、月榜，按佣金比例筛选"
"passed","Testcase.author.test_authorRank_bangNew_A.TestCase_AuthorRank_BangNew_A#test_authorRank_bangNew_A_star_type","608",""
"passed","Testcase.aweme_material.test_rank_hotAweme.TestCase_Rank_HotAweme#test_rank_hotAweme_hour_sort","397",""
"passed","Testcase.author.test_author_search.TestCase_Author_Search#test_author_search_city_type","555",""
"passed","Testcase.aweme_material.test_poi_rank.TestCase_Poi_Rank#test_poi_rank_get_label","1177","验证抖音本地生活榜查看任意分类"
"passed","Testcase.author.test_authorRank_bangNew_G.TestCase_AuthorRank_BangNew_G#test_authorRank_bangNew_G_star_type","649",""
"passed","Testcase.product.test_rank_yesterdayHotRank.TestCase_Rank_YesterdayHotRank#test_yesterdayHotRank_big_category","225","验证抖音热推榜日榜、周榜、月榜遍历商品一级分类返回的数据是否大于20条"
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_is_city","614",""
"passed","Testcase.aweme_material.test_aweme_search.TestCase_Aweme_Search#test_aweme_search_province","14675","验证视频库按观众地区筛选，数据是否正确"
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_product_type","311",""
"passed","Testcase.author.test_authorRank_bangNew_A.TestCase_AuthorRank_BangNew_A#test_authorRank_bangNew_A_star_type","410",""
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_is_city","478",""
"passed","Testcase.aweme_material.test_poi_rank.TestCase_Poi_Rank#test_poi_rank_get_label","942","验证抖音本地生活榜查看任意分类"
"passed","Testcase.author.test_author_search.TestCase_Author_Search#test_author_search_star_product_category","343",""
"passed","Testcase.product.test_rank_yesterdayHotRank.TestCase_Rank_YesterdayHotRank#test_yesterdayHotRank_big_category","297","验证抖音热推榜日榜、周榜、月榜遍历商品一级分类返回的数据是否大于20条"
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_is_city","367",""
"passed","Testcase.shop_brand.test_brand_search.TestCase_Brand_Search#test_brand_search_sort","184",""
"passed","Testcase.shop_brand.test_brand_search.TestCase_Brand_Search#test_brand_search_product_type","198",""
"passed","Testcase.author.test_author_search.TestCase_Author_Search#test_author_search_star_product_category","512",""
"passed","Testcase.product.test_product_search.TestCase_Product_Search#test_product_search_sort","358","验证选品库昨日、7天、30天按分类升序降序，排序结果是否正确"
"passed","Testcase.author.test_author_search.TestCase_Author_Search#test_author_search_city_type","534",""
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_is_city","244",""
"passed","Testcase.product.test_product_search.TestCase_Product_Search#test_product_search_big_category","314","验证选品库遍历商品一级分类是否有返回数据"
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_is_city","180",""
"passed","Testcase.author.test_author_search.TestCase_Author_Search#test_author_search_city_type","205",""
"passed","Testcase.shop_brand.test_brand_rank.TestCase_Brand_Rank#test_brand_rank_product_type","155",""
"passed","Testcase.shop_brand.test_brand_rank.TestCase_Brand_Rank#test_brand_rank_product_type","211",""
"passed","Testcase.shop_brand.test_shop_search.TestCase_Shop_Search#test_shop_search_product_type","386",""
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_is_city","247",""
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_is_city","204",""
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_is_city","186",""
"passed","Testcase.author.test_authorRank_bangNew_E.TestCase_AuthorRank_BangNew_E#test_authorRank_bangNew_E_star_type","530",""
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_product_type","320",""
"passed","Testcase.aweme_material.test_poi_rank.TestCase_Poi_Rank#test_poi_rank_get_label","375","验证抖音本地生活榜查看任意分类"
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_is_city","281",""
"passed","Testcase.author.test_author_search.TestCase_Author_Search#test_author_search_star_product_category","482",""
"passed","Testcase.author.test_author_search.TestCase_Author_Search#test_author_search_city_type","160",""
"passed","Testcase.author.test_authorRank_bangNew_E.TestCase_AuthorRank_BangNew_E#test_authorRank_bangNew_E_star_type","518",""
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_is_city","187",""
"passed","Testcase.aweme_material.test_rank_hotAweme.TestCase_Rank_HotAweme#test_rank_hotAweme_hour_big_type","497",""
"passed","Testcase.author.test_authorRank_bangNew_A.TestCase_AuthorRank_BangNew_A#test_authorRank_bangNew_A_star_type","516",""
"passed","Testcase.live.test_rank_product.TestCase_Rank_Product#test_product_big_category","495","验证直播商品榜日榜、周榜、月榜遍历商品一级分类是否有返回数据"
"passed","Testcase.product.test_rank_yesterdayHotRank.TestCase_Rank_YesterdayHotRank#test_yesterdayHotRank_big_category","406","验证抖音热推榜日榜、周榜、月榜遍历商品一级分类返回的数据是否大于20条"
"passed","Testcase.product.test_rank_allDayRank.TestCase_Rank_AllDayRank#test_allDayRank_sale_incr","206","验证全天销量榜单是否按今日累计销量排序"
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_is_city","242",""
"passed","Testcase.live.test_live_warm.TestCase_Live_Warm#test_warm_big_category","848","验证预热视频分析近7天遍历商品一级分类是否有返回数据"
"passed","Testcase.author.test_authorRank_bangNew_E.TestCase_AuthorRank_BangNew_E#test_authorRank_bangNew_E_star_type","621",""
"passed","Testcase.author.test_author_search.TestCase_Author_Search#test_author_search_city_type","232",""
"passed","Testcase.live.test_rank_product.TestCase_Rank_Product#test_product_big_category","359","验证直播商品榜日榜、周榜、月榜遍历商品一级分类是否有返回数据"
"passed","Testcase.aweme_material.test_aweme_search.TestCase_Aweme_Search#test_aweme_search_province","18464","验证视频库按观众地区筛选，数据是否正确"
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_is_city","216",""
"passed","Testcase.product.test_product_search.TestCase_Product_Search#test_product_search_big_category","565","验证选品库遍历商品一级分类是否有返回数据"
"passed","Testcase.live.test_rank_product.TestCase_Rank_Product#test_product_orderby","517","验证直播商品榜单日榜、周榜、月榜是否会排序规则排序"
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_is_city","447",""
"passed","Testcase.aweme_material.test_rank_hotAweme.TestCase_Rank_HotAweme#test_rank_hotAweme_big_type","289",""
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_is_city","590",""
"failed","Testcase.live.test_rank_official.TestCase_Rank_Official#test_official_star_category","168","验证带货小时榜遍历达人一级分类是否有返回数据"
"passed","Testcase.live.test_live_search.TestCase_Live_Search#test_live_search_star_category","1137","验证直播库遍历达人一级分类是否有返回数据"
"passed","Testcase.author.test_author_search.TestCase_Author_Search#test_author_search_city_type","229",""
"passed","Testcase.live.test_live_warm.TestCase_Live_Warm#test_warm_big_category","1141","验证预热视频分析近7天遍历商品一级分类是否有返回数据"
"passed","Testcase.shop_brand.test_brand_rank.TestCase_Brand_Rank#test_brand_rank_product_type","593",""
"passed","Testcase.author.test_authorRank_bangNew_E.TestCase_AuthorRank_BangNew_E#test_authorRank_bangNew_E_star_type","458",""
"passed","Testcase.aweme_material.test_poi_rank.TestCase_Poi_Rank#test_poi_rank_get_label","628","验证抖音本地生活榜查看任意分类"
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_is_city","487",""
"passed","Testcase.aweme_material.test_aweme_product_search.TestCase_Aweme_Product_Search#test_aweme_product_big_category","1064","验证带货视频库遍历商品一级分类是否有返回数据"
"passed","Testcase.aweme_material.test_rank_hotAweme.TestCase_Rank_HotAweme#test_rank_hotAweme_hour_big_type","432",""
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_is_city","491",""
"passed","Testcase.author.test_author_search.TestCase_Author_Search#test_author_search_star_product_category","407",""
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_is_city","155",""
"passed","Testcase.live.test_rank_product.TestCase_Rank_Product#test_product_big_category","300","验证直播商品榜日榜、周榜、月榜遍历商品一级分类是否有返回数据"
"passed","Testcase.aweme_material.test_poi_rank.TestCase_Poi_Rank#test_poi_rank_get_label","185","验证抖音本地生活榜查看任意分类"
"passed","Testcase.author.test_author_search.TestCase_Author_Search#test_author_search_star_product_category","291",""
"passed","Testcase.live.test_live_search.TestCase_Live_Search#test_live_search_big_category","222","验证直播库近7天遍历商品一级分类是否有返回数据"
"passed","Testcase.live.test_live_warm.TestCase_Live_Warm#test_warm_sort","5282","验证预热视频分析不同时间榜单是否会按总点赞增量升降排序"
"passed","Testcase.author.test_author_search.TestCase_Author_Search#test_author_search_city_type","665",""
"passed","Testcase.author.test_author_search.TestCase_Author_Search#test_author_search_star_product_category","475",""
"passed","Testcase.live.test_live_windmill.TestCase_Rank_Windmill#test_windmill_category","1145","验证直播风车榜日榜、周榜、月榜遍历达人分类是否有返回数据"
"passed","Testcase.aweme_material.test_poi_rank.TestCase_Poi_Rank#test_poi_rank_get_label","1427","验证抖音本地生活榜查看任意分类"
"passed","Testcase.author.test_author_search.TestCase_Author_Search#test_author_search_star_product_category","403",""
"passed","Testcase.live.test_live_windmill.TestCase_Rank_Windmill#test_windmill_category","347","验证直播风车榜日榜、周榜、月榜遍历达人分类是否有返回数据"
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_is_city","389",""
"passed","Testcase.aweme_material.test_aweme_product_search.TestCase_Aweme_Product_Search#test_aweme_product_big_category","797","验证带货视频库遍历商品一级分类是否有返回数据"
"passed","Testcase.live.test_live_windmill.TestCase_Rank_Windmill#test_windmill_category","351","验证直播风车榜日榜、周榜、月榜遍历达人分类是否有返回数据"
"passed","Testcase.live.test_rank_soundbyte.TestCase_Rank_Soundbyte#test_soundbyte_timestamp","248","验证抖音官方小时榜遍历所有的小时榜点是否有返回数据"
"passed","Testcase.author.test_author_search.TestCase_Author_Search#test_author_search_star_product_category","277",""
"passed","Testcase.live.test_live_search.TestCase_Live_Search#test_live_search_star_category","491","验证直播库遍历达人一级分类是否有返回数据"
"passed","Testcase.aweme_material.test_rank_hotAweme.TestCase_Rank_HotAweme#test_rank_hotAweme_big_type","1946",""
"passed","Testcase.author.test_authorRank_bangNew_G.TestCase_AuthorRank_BangNew_G#test_authorRank_bangNew_G_star_type","920",""
"passed","Testcase.product.test_rank_yesterdaySaleRank.TestCase_Rank_YesterdaySaleRank#test_yesterdaySaleRank_big_category","186","验证抖音销量榜日榜、周榜、月榜遍历商品一级分类返回的数据是否大于20条"
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_is_city","177",""
"passed","Testcase.author.test_author_search.TestCase_Author_Search#test_author_search_star_product_category","299",""
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_is_city","248",""
"passed","Testcase.live.test_live_windmill.TestCase_Rank_Windmill#test_windmill_category","464","验证直播风车榜日榜、周榜、月榜遍历达人分类是否有返回数据"
"passed","Testcase.shop_brand.test_brand_rank.TestCase_Brand_Rank#test_brand_rank_product_type","165",""
"passed","Testcase.product.test_rank_yesterdaySaleRank.TestCase_Rank_YesterdaySaleRank#test_yesterdaySaleRank_platform","279","验证抖音销量榜日榜、周榜、月榜，按商品来源筛选"
"passed","Testcase.author.test_authorRank_bangNew_G.TestCase_AuthorRank_BangNew_G#test_authorRank_bangNew_G_star_type","867",""
"passed","Testcase.live.test_rank_sales.TestCase_Rank_Sales#test_sales_big_category","688","验证达人带货榜日榜、周榜、月榜遍历商品一级分类是否有返回数据"
"passed","Testcase.author.test_author_search.TestCase_Author_Search#test_author_search_city_type","189",""
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_is_city","269",""
"passed","Testcase.shop_brand.test_shop_search.TestCase_Shop_Search#test_shop_search_avg","15520",""
"passed","Testcase.shop_brand.test_brand_rank.TestCase_Brand_Rank#test_brand_rank_product_type","196",""
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_is_city","224",""
"passed","Testcase.live.test_rank_product.TestCase_Rank_Product#test_product_big_category","272","验证直播商品榜日榜、周榜、月榜遍历商品一级分类是否有返回数据"
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_is_city","427",""
"passed","Testcase.live.test_rank_product.TestCase_Rank_Product#test_product_big_category","309","验证直播商品榜日榜、周榜、月榜遍历商品一级分类是否有返回数据"
"passed","Testcase.author.test_author_search.TestCase_Author_Search#test_author_search_star_product_category","486",""
"passed","Testcase.author.test_author_search.TestCase_Author_Search#test_author_search_star_product_category","449",""
"passed","Testcase.live.test_rank_official_daily.TestCase_Rank_Official_Daily#test_official_daily_star_category","212","验证今日带货榜遍历达人一级分类是否有返回数据"
"passed","Testcase.aweme_material.test_poi_rank.TestCase_Poi_Rank#test_poi_rank_get_label","204","验证抖音本地生活榜查看任意分类"
"passed","Testcase.author.test_author_search.TestCase_Author_Search#test_author_search_star_product_category","321",""
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_is_city","293",""
"passed","Testcase.author.test_author_search.TestCase_Author_Search#test_author_search_star_product_category","462",""
"failed","Testcase.aweme_material.test_aweme_search.TestCase_Aweme_Search#test_aweme_search_age_types","1091","验证视频库按观众年龄筛选，数据是否正确"
"passed","Testcase.author.test_author_search.TestCase_Author_Search#test_author_search_city_type","352",""
"passed","Testcase.author.test_author_search.TestCase_Author_Search#test_author_search_city_type","605",""
"passed","Testcase.live.test_rank_official_daily.TestCase_Rank_Official_Daily#test_official_daily_star_category","606","验证今日带货榜遍历达人一级分类是否有返回数据"
"passed","Testcase.author.test_author_search.TestCase_Author_Search#test_author_search_star_product_category","549",""
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_is_city","239",""
"passed","Testcase.product.test_rank_yesterdayHotRank.TestCase_Rank_YesterdayHotRank#test_yesterdayHotRank_commission_rate","537","验证抖音热推榜日榜、周榜、月榜，按佣金比例筛选"
"passed","Testcase.aweme_material.test_rank_hotAweme.TestCase_Rank_HotAweme#test_rank_hotAweme_hour_big_type","351",""
"passed","Testcase.author.test_author_search.TestCase_Author_Search#test_author_search_star_product_category","579",""
"passed","Testcase.author.test_author_search.TestCase_Author_Search#test_author_search_city_type","206",""
"passed","Testcase.author.test_authorRank_bangNew_G.TestCase_AuthorRank_BangNew_G#test_authorRank_bangNew_G_star_type","497",""
"passed","Testcase.author.test_author_search.TestCase_Author_Search#test_author_search_city_type","167",""
"passed","Testcase.live.test_rank_top.TestCase_Rank_Top#test_top_star_category","196","验证直播实时热榜遍历达人一级分类是否有返回数据"
"passed","Testcase.author.test_author_search.TestCase_Author_Search#test_author_search_star_product_category","191",""
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_is_city","607",""
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_is_city","191",""
"passed","Testcase.author.test_authorRank_bangNew_G.TestCase_AuthorRank_BangNew_G#test_authorRank_bangNew_G_star_type","866",""
"passed","Testcase.author.test_author_search.TestCase_Author_Search#test_author_search_star_product_category","344",""
"passed","Testcase.aweme_material.test_aweme_product_search.TestCase_Aweme_Product_Search#test_aweme_product_search_star_category","1055","验证带货视频库遍历达人一级分类是否有返回数据"
"passed","Testcase.live.test_rank_official_daily.TestCase_Rank_Official_Daily#test_official_daily_big_category","199","验证今日带货榜遍历商品一级分类是否有返回数据"
"passed","Testcase.live.test_live_search.TestCase_Live_Search#test_live_search_sort","308","验证直播库单是否会排序规则排序"
"passed","Testcase.author.test_author_search.TestCase_Author_Search#test_author_search_star_product_category","422",""
